sec,m,c,L,bits
128,16384,2,119,120
128,32768,6,340,341
128,32768,5,299,300
128,32768,3,284,285
128,32768,2,239,240
128,65536,13,751,753
128,65536,6,693,695
128,65536,4,635,637
128,65536,3,578,579
128,65536,2,520,521
128,131072,27,1587,1590
128,131072,13,1528,1531
128,131072,9,1470,1473
128,131072,6,1411,1414
128,131072,5,1352,1355
128,131072,4,1293,1296
128,131072,3,1234,1237
128,131072,2,1079,1081
128,262144,55,3234,3239
128,262144,29,3175,3181
128,262144,20,3116,3122
128,262144,14,3057,3063
128,262144,12,2999,3004
128,262144,10,2990,2996
128,262144,8,2881,2886
128,262144,6,2822,2827
128,262144,5,2705,2710
128,262144,4,2631,2636
128,262144,3,2469,2475
128,262144,2,2175,2180
